KIDEN	Année	Region du monde	I_prix sans loyer	I_prix avec loyer	I_salaires bruts	I_salaires nets	Heures travail annuelles	Vacances annuelles payees	Pouvoir d'achat brut	Pouvoir d'achat net	Kg pain=temps de travail	Hamb=temps de travail	Denrées alimentaires	Panier complet	Dames vetements	Hommes vetements	4pièces appart meublé	3pièces appart non meublé	Loyer normale	Appareils ménagers	Bus tram ou metro	Taxi	Voitures	Restaurant	Nuit d'hôtel	Services diverses	Impots et cotisations sociales en % salaire brut	Salaire horaire net	Instituteur	Chauffeur d'autobus	Mécanicien autos	Manoeuvre du bâtiment	Tourneur	Cuisinier chef	Chef de service	Ingeniéur	Caissier de banque	Secrétaire direction	Vendeuse	Ouvrière du textile	revenu annuel net moyen	Axe factoriel revenus 1	Axe factoriel revenus 2	Axe factoriel revenus 3	Axe factoriel revenus 4	Axe factoriel revenus 5	Instituteur/moy	Chauffeur/moy	Mécanicien/moy	Manoeuvre/moy	Tourneur/moy	Cuisinier/moy	Directeur/moy	Ingénieur/moy	Caissier/moy	Secrétaire/moy	Vendeuse/moy	Ouvrière/moy	Inegalité des salaires	Manuels qualifiées	Femenins non qualifiées	Axe factoriel rapports 1	Axe factoriel rapports 2	Axe factoriel rapports 3	Axe factoriel rapports 4	Axe factoriel rapports 5	Instituteur/moy	Chauffeur/moy	Mécanicien/moy	Manoeuvre/moy	Tourneur/moy	Cuisinier/moy	Directeur/moy	Ingénieur/moy	Caissier/moy	Secrétaire/moy	Vendeuse/moy	Ouvrière/moy
Stockholm91	Edition 1991	NORD EUROPE	111.30	105.60	69.10	39.20	1805.00	27.80	62.00	35.20	40.00	61.00	553.00	1944.00	543.00	824.00	1172.00	549.00	430.00	2780.00	2.66	12.50	17953.00	39.00	295.00	442.00	55.00	6.30	12661.00	10986.00	10517.00	12661.00	11254.00	11388.00	15474.00	11790.00	11254.00	12661.00	10182.00	10115.00	11366.00	0.98	-0.93	0.04	0.13	-0.52	1.11	0.97	0.93	1.11	0.99	1.00	1.36	1.04	0.99	1.11	0.90	0.89	0.47	0.96	0.89	-1.90	-0.30	1.89	0.42	-0.85	1.0980     1.11	0.9515     0.97	0.9200     0.93	1.1087     1.12	0.9867     0.99	0.9888     1.02	0.9188     1.37	1.0373     1.14	0.9767     1.01	1.1070     1.12	0.8820     0.90	0.8852     0.92
Stockholm94	edition 1994	NORD EUROPE	87.20	85.20	55.50	49.90	1803.00	25.70	63.70	57.30	29.00	32.00	446.00	1697.00	450.00	580.00	930.00	630.00	600.00	2320.00	2.21	8.12	20300.00	25.00	217.00	390.00	29.00	8.60	17400.00	15300.00	14800.00	18200.00	15300.00	14700.00	24800.00	22200.00	15600.00	16100.00	13300.00	13700.00	15506.00	-0.67	-0.98	0.13	-0.19	-0.51	1.12	0.99	0.95	1.17	0.99	0.95	1.60	1.43	1.01	1.04	0.86	0.88	0.74	0.97	0.87	-1.90	-0.29	1.66	0.28	-0.71	1.1221     1.16	0.9866     1.02	0.9535     0.97	1.1730     1.32	0.9867     0.99	0.9480     0.96	1.5982     1.64	1.4317     1.49	0.9767     1.01	1.0333     1.05	0.8569     0.86	0.8552     0.88
Sidney91	Edition 1991	SUD ASIE ET AUSTRALI	70.80	72.80	51.70	52.10	1668.00	22.40	73.00	73.60	12.00	18.00	277.00	1237.00	523.00	1072.00	1420.00	757.00	550.00	2492.00	2.06	4.20	12795.00	17.00	190.00	221.00	19.30	8.31	17484.00	12326.00	13934.00	13733.00	14335.00	18355.00	24518.00	15809.00	13532.00	15608.00	11388.00	11053.00	13855.00	-0.09	-0.67	0.46	0.24	-0.31	1.26	0.89	1.01	0.99	1.03	1.32	1.77	1.14	0.98	1.13	0.82	0.80	0.97	1.02	0.81	-1.36	0.11	1.20	0.06	-0.91	1.2619     1.27	0.8757     0.89	1.0036     1.01	0.9823     1.03	1.0346     1.04	1.2808     1.35	1.6611     1.77	1.0373     1.14	0.9767     1.01	1.1265     1.15	0.8219     0.83	0.7877     0.80
Sidney94	edition 1994	SUD ASIE ET AUSTRALI	61.80	63.00	46.20	41.20	1847.00	22.20	74.80	66.70	11.00	26.00	262.00	1203.00	430.00	1060.00	1360.00	660.00	430.00	1790.00	1.79	4.71	14700.00	14.00	189.00	230.00	29.20	7.20	18800.00	11600.00	11900.00	12900.00	13200.00	18700.00	23900.00	20500.00	18700.00	14700.00	10900.00	9400.00	13298.00	-0.03	-0.21	0.32	0.20	-0.33	1.41	0.87	0.89	0.97	0.99	1.41	1.80	1.54	1.41	1.11	0.82	0.71	1.09	0.94	0.76	-0.66	-0.40	0.98	-0.36	-0.85	1.4138     1.45	0.8415     0.87	0.8876     0.90	0.9592     0.97	0.9867     0.99	1.3839     1.41	1.7956     1.84	1.4946     1.54	1.3945     1.41	1.0769     1.11	0.8121     0.82	0.7037     0.71
Taipei91	Edition 1991	EST ASIE	84.30	90.40	30.10	34.50	2145.00	17.70	35.70	41.00	16.00	34.00	414.00	1471.00	502.00	1038.00	1929.00	1420.00	740.00	2606.00	0.33	4.25	16010.00	50.00	208.00	328.00	8.50	5.56	11790.00	10651.00	10115.00	10584.00	11589.00	22843.00	26393.00	21369.00	12192.00	12661.00	11388.00	8574.00	11926.00	0.39	0.08	0.94	-0.08	-0.10	0.99	0.89	0.85	0.89	0.97	1.92	2.21	1.79	1.02	1.06	0.95	0.72	1.49	0.91	0.84	-0.02	0.00	1.50	0.27	-0.51	0.9391     0.99	0.8927     0.95	0.8400     0.86	0.8791     0.89	0.9717     0.99	1.8098     1.92	2.1140     2.24	1.7918     1.84	1.0113     1.02	1.0595     1.07	0.9055     0.95	0.7189     0.72
Taipei94	edition 1994	EST ASIE	68.00	74.60	41.20	47.50	2136.00	17.00	60.60	69.80	21.00	26.00	421.00	1324.00	230.00	780.00	2080.00	1040.00	940.00	2270.00	0.45	3.77	15100.00	50.00	196.00	280.00	8.90	8.20	23700.00	19100.00	23700.00	13800.00	21400.00	30000.00	32900.00	20000.00	23700.00	13800.00	13200.00	9200.00	17515.00	-1.64	-0.27	1.36	1.02	0.10	1.35	1.09	1.35	0.79	1.22	1.71	1.88	1.14	1.35	0.79	0.75	0.53	1.35	1.29	0.64	-1.40	1.13	0.05	-1.48	0.51	1.3089     1.35	1.0658     1.09	1.3527     1.47	0.7819     0.79	1.2158     1.22	1.6960     1.77	1.8486     1.91	1.0373     1.14	1.3495     1.36	0.7567     0.83	0.7536     0.76	0.5253     0.55
Tel-Aviv91	Edition 1991	PROCHE ORIENT	67.30	64.90	23.70	27.00	2015.00	18.70	35.10	40.10	9.00	33.00	293.00	1175.00	261.00	569.00	630.00	382.00	390.00	3068.00	0.73	5.91	17149.00	22.00	105.00	234.00	9.00	4.35	8240.00	9579.00	10048.00	7034.00	10249.00	14469.00	20163.00	15273.00	12594.00	7972.00	7503.00	4957.00	8774.00	1.66	-0.06	0.45	0.25	-0.04	0.94	1.09	1.15	0.80	1.17	1.65	2.30	1.74	1.44	0.91	0.86	0.56	1.73	1.16	0.71	-0.47	0.88	0.61	-0.68	0.67	0.9391     0.99	1.0918     1.11	1.1187     1.15	0.7925     0.81	1.1458     1.17	1.5613     1.69	2.2404     2.30	1.7359     1.75	1.4354     1.50	0.8915     0.92	0.8305     0.86	0.5650     0.58
Tel-Aviv94	edition 1994	PROCHE ORIENT	67.40	65.80	29.90	27.50	1940.00	17.50	44.40	40.80	12.00	53.00	321.00	1312.00	260.00	490.00	750.00	550.00	500.00	3290.00	0.87	5.59	21200.00	19.00	97.00	260.00	22.10	5.10	9100.00	10300.00	11500.00	6800.00	10700.00	20900.00	16800.00	18900.00	10700.00	8200.00	6700.00	4900.00	9894.00	1.41	0.00	0.98	0.15	0.25	0.92	1.04	1.16	0.69	1.08	2.11	1.70	1.91	1.08	0.83	0.68	0.50	1.62	1.12	0.59	-0.28	1.53	0.05	-1.08	-0.20	0.9184     0.93	1.0162     1.04	1.1512     1.17	0.6763     0.70	1.0628     1.08	2.0851     2.16	1.6611     1.77	1.8856     1.95	1.0716     1.09	0.8288     0.88	0.6595     0.68	0.4181     0.50
Tokyo91	Edition 1991	EST ASIE	115.00	141.40	63.90	68.00	1880.00	24.00	55.60	59.10	14.00	21.00	742.00	2008.00	797.00	1259.00	10160.00	3825.00	890.00	2653.00	1.32	8.67	17350.00	96.00	237.00	409.00	15.50	10.85	26393.00	28470.00	20900.00	22977.00	25991.00	23714.00	49035.00	29006.00	27733.00	18690.00	14268.00	12460.00	20402.00	-2.99	-0.47	0.34	0.58	0.23	1.29	1.40	1.02	1.13	1.27	1.16	2.40	1.42	1.36	0.92	0.70	0.61	1.79	1.15	0.66	-1.96	-0.15	-0.42	-1.17	0.35	1.2860     1.29	1.3278     1.40	1.0123     1.02	1.1152     1.13	1.2660     1.28	1.1599     1.18	2.3037     2.44	1.3769     1.42	1.3495     1.36	0.8915     0.92	0.6988     0.70	0.5935     0.61
Tokyo94	edition 1994	EST ASIE	132.00	142.70	86.80	89.00	1893.00	14.50	65.80	67.40	15.00	25.00	938.00	2569.00	1910.00	1800.00	5300.00	2020.00	1440.00	2920.00	1.54	14.45	18700.00	72.00	382.00	460.00	19.30	15.30	35700.00	32400.00	26500.00	25900.00	38700.00	32100.00	76800.00	51400.00	54900.00	27400.00	23000.00	20200.00	28963.00	-6.72	0.72	0.13	0.05	-0.47	1.23	1.12	0.91	0.89	1.34	1.11	2.65	1.77	1.90	0.95	0.79	0.70	1.95	1.13	0.75	-0.84	-0.38	-0.25	-0.32	0.53	1.2201     1.24	1.1151     1.12	0.9067     0.92	0.8898     0.94	1.3147     1.34	1.0759     1.11	2.5447     2.69	1.7719     1.79	1.8668     2.01	0.9429     0.95	0.7843     0.79	0.6852     0.70
Toronto91	Edition 1991	NORD AMERIQUE	70.20	72.50	65.40	58.20	1888.00	12.20	93.20	83.00	10.00	20.00	350.00	1225.00	516.00	623.00		583.00	640.00	1755.00	0.99	4.04	10249.00	25.00	179.00	261.00	29.20	9.31	24317.00	20498.00	21034.00	23245.00	23982.00	12661.00	39925.00	31150.00	13666.00	15407.00	9579.00	10517.00	17580.00	-1.52	-1.19	-0.02	-0.04	0.71	1.38	1.17	1.20	1.32	1.36	0.72	2.27	1.77	0.78	0.88	0.54	0.60	1.73	1.28	0.57	-2.78	0.92	-1.01	-0.94	-0.06	1.3639     1.38	1.1438     1.19	1.1965     1.29	1.1730     1.32	1.3520     1.38	0.4831     0.75	2.2404     2.30	1.7719     1.79	0.7774     0.82	0.8288     0.88	0.5198     0.54	0.5935     0.61
Toronto94	edition 1994	NORD AMERIQUE	57.50	60.30	59.30	56.60	1888.00	13.40	103.00	98.30	9.00	20.00	300.00	1120.00	410.00	530.00	1240.00	810.00	650.00	1800.00	1.45	7.63	11400.00	18.00	150.00	220.00	23.70	9.80	25500.00	19700.00	20100.00	20300.00	22700.00	20900.00	30900.00	26800.00	16700.00	14000.00	14200.00	13200.00	18502.00	-1.77	-1.06	0.57	0.16	0.20	1.38	1.06	1.09	1.10	1.23	1.13	1.67	1.45	0.90	0.76	0.77	0.71	0.96	1.16	0.74	-2.38	0.24	0.19	-0.40	-0.02	1.3639     1.38	1.0452     1.06	1.0834     1.09	1.0498     1.10	1.2269     1.24	1.1226     1.13	1.6611     1.77	1.4317     1.49	0.8218     0.90	0.7567     0.83	0.7619     0.77	0.7131     0.72
Vienna91	Edition 1991	CENTRAL EUROPE	78.00	75.40	54.40	51.30	1780.00	26.80	69.80	65.80	12.00	30.00	352.00	1361.00	435.00	690.00	1306.00	536.00	290.00	1976.00	1.39	6.19	15139.00	33.00	220.00	308.00	25.00	8.24	15407.00	16412.00	15139.00	14068.00	19427.00	18690.00	36442.00	33427.00	20699.00	17283.00	10249.00	7503.00	14666.00	-0.86	0.14	0.32	-0.24	0.13	1.05	1.12	1.03	0.96	1.32	1.27	2.48	2.28	1.41	1.18	0.70	0.51	1.97	1.18	0.61	-0.37	0.85	-0.51	-0.42	0.21	1.0173     1.06	1.1151     1.12	1.0309     1.07	0.9592     0.97	1.3147     1.34	1.2568     1.27	2.4848     2.54	2.2511     2.35	1.4114     1.43	1.1536     1.18	0.6988     0.70	0.5055     0.52
Vienna94	edition 1994	CENTRAL EUROPE	78.00	77.00	62.00	57.40	1744.00	26.80	79.50	73.60	13.00	27.00	402.00	1518.00	480.00	760.00	1690.00	720.00	410.00	2090.00	1.69	10.14	16900.00	33.00	309.00	340.00	26.40	9.90	18500.00	19200.00	17800.00	16200.00	20900.00	21700.00	36500.00	38700.00	23300.00	17600.00	12200.00	13600.00	17266.00	-1.86	-0.11	0.36	-0.61	0.02	1.07	1.11	1.03	0.94	1.21	1.26	2.11	2.24	1.35	1.02	0.71	0.79	1.53	1.12	0.75	-1.02	0.21	0.06	0.08	-0.24	1.0715     1.08	1.0918     1.11	1.0309     1.07	0.8898     0.94	1.1957     1.21	1.2568     1.27	2.1140     2.24	2.2101     2.24	1.3495     1.36	1.0173     1.02	0.7050     0.72	0.7877     0.80
Zurich91	Edition 1991	CENTRAL EUROPE	100.00	100.00	100.00	100.00	1868.00	24.00	100.00	100.00	9.00	20.00	517.00	1746.00	389.00	509.00	2546.00	1474.00	570.00	2418.00	1.88	14.40	14469.00	26.00	238.00	395.00	19.40	16.01	44882.00	36308.00	27867.00	20364.00	37312.00	33293.00	59620.00	51916.00	41868.00	31685.00	23513.00	18891.00	29907.00	-6.55	0.18	-0.01	0.09	-0.04	1.50	1.21	0.93	0.68	1.25	1.11	1.99	1.74	1.40	1.06	0.79	0.63	1.36	1.09	0.71	-0.88	-0.51	-0.37	-0.09	0.40	1.5007     1.59	1.1896     1.21	0.9318     0.94	0.6763     0.70	1.2457     1.25	1.0759     1.11	1.9935     2.04	1.7359     1.75	1.3945     1.41	1.0595     1.07	0.7843     0.79	0.6179     0.63
Zurich94	edition 1994	CENTRAL EUROPE	100.00	100.00	100.00	100.00	1874.00	23.70	100.00	100.00	12.00	21.00	570.00	1946.00	460.00	700.00	2280.00	1510.00	740.00	2440.00	2.24	14.36	16100.00	33.00	287.00	430.00	20.60	17.30	56800.00	46100.00	30500.00	26100.00	35800.00	27500.00	82500.00	45700.00	58800.00	31500.00	24700.00	23100.00	32420.00	-7.90	0.29	-1.18	1.12	-0.33	1.75	1.42	0.94	0.81	1.10	0.85	2.54	1.41	1.81	0.97	0.76	0.71	1.83	1.02	0.74	-1.46	-1.68	-0.17	-0.99	0.60	1.7520     1.78	1.4220     1.51	0.9383     0.95	0.7925     0.81	1.0959     1.10	0.8205     0.87	2.5447     2.69	1.3769     1.42	1.7750     1.81	0.9716     1.00	0.7619     0.77	0.7037     0.71
